game_no,team,opp,result,location,FG,FGA,x2P,x2PA,x3P,x3PA,FT,FTA,PTS
1,BOS,MIL,W,H,41,91,29,54,12,37,18,26,112
2,MIL,BOS,L,H,37,84,31,61,6,23,14,17,94
3,BRK,CHI,L,H,28,86,25,53,3,33,14,18,73
4,CHI,BRK,W,H,41,95,27,65,14,30,16,21,112
5,CLE,TOR,L,H,28,76,18,39,10,37,17,24,83
6,TOR,CLE,W,H,40,86,32,60,8,26,10,16,98
7,GSW,LAL,W,H,41,90,29,54,12,36,15,22,109
8,LAL,GSW,L,H,41,93,37,76,4,17,8,14,94
9,HOU,MIN,W,H,45,97,26,41,19,56,14,22,123
10,MIN,HOU,L,H,48,91,37,68,11,23,11,15,118
11,ATL,IND,L,H,30,72,19,43,11,29,15,19,86
12,IND,ATL,W,H,39,82,29,58,10,24,16,19,104
13,LAC,SAC,W,H,43,83,33,55,10,28,19,25,115
14,SAC,LAC,L,H,40,81,35,70,5,11,10,14,95
15,DAL,MEM,W,H,33,75,24,41,9,34,25,31,100
16,MEM,DAL,L,H,33,84,25,59,8,25,19,22,93
17,MIA,WAS,W,H,46,88,38,64,8,24,10,12,110
18,WAS,MIA,L,H,42,87,35,61,7,26,11,14,102
19,NYK,PHI,W,H,41,83,32,61,9,22,23,32,114
20,PHI,NYK,L,H,46,93,39,70,7,23,14,20,113
21,DEN,OKC,W,H,39,85,32,60,7,25,26,32,111
22,OKC,DEN,L,H,43,101,35,76,8,25,11,17,105
23,DET,ORL,L,H,41,106,30,70,11,36,16,28,109
24,ORL,DET,W,H,42,87,29,62,13,25,16,17,113
25,NOP,POR,W,H,40,90,32,66,8,24,15,21,103
26,POR,NOP,L,H,41,85,28,55,13,30,5,13,100
27,SAS,UTA,L,H,39,86,31,65,8,21,11,13,97
28,UTA,SAS,W,H,39,77,29,51,10,26,13,20,101
29,ATL,CHO,W,H,41,79,34,52,7,27,14,18,103
30,CHO,ATL,L,H,29,88,26,65,3,23,15,19,76
31,DAL,DEN,L,H,35,88,23,48,12,40,9,11,91
32,DEN,DAL,W,H,41,84,23,42,18,42,9,14,109
33,LAL,NOP,W,H,42,88,34,66,8,22,16,23,108
34,NOP,LAL,L,H,37,79,30,57,7,22,15,20,96
35,MIN,OKC,L,H,38,86,33,66,5,20,17,25,98
36,OKC,MIN,W,H,37,86,30,64,7,22,19,25,100
37,PHO,SAC,L,H,41,109,33,79,8,30,14,24,104
38,SAC,PHO,W,H,43,83,34,64,9,19,34,43,129
39,BOS,BRK,W,H,41,91,27,53,14,38,18,21,114
40,BRK,BOS,L,H,31,86,23,55,8,31,35,39,105
41,CHI,ORL,W,H,48,89,36,63,12,26,14,16,122
42,ORL,CHI,L,H,29,84,24,57,5,27,12,16,75
43,DET,WAS,L,H,43,94,33,68,10,26,5,5,101
44,WAS,DET,W,H,42,83,35,64,7,19,14,16,105
45,GSW,UTA,L,H,39,80,30,55,9,25,12,17,99
46,UTA,GSW,W,H,41,92,28,57,13,35,10,15,105
47,HOU,LAC,L,H,33,84,24,44,9,40,21,27,96
48,LAC,HOU,W,H,46,91,36,65,10,26,23,28,125
49,CLE,MIA,L,H,44,89,30,54,14,35,19,22,121
